postcode,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population
2576,1071.1397205,9.0,1073.8209684,9.0,14189.0
2577,1040.3627455,8.0,1023.7029924,8.0,16724.0
2578,1035.9976839,7.0,1016.2510778,7.0,2846.0
2579,1027.067044,7.0,996.59371282,6.0,4646.0
2580,973.80339172,4.0,948.82269266,4.0,31629.0
2581,1065.0296177,9.0,1044.6742876,8.0,2507.0
2582,1054.7185661,8.0,1048.9495941,8.0,13693.0
2583,996.99055019,5.0,966.38842675,5.0,4604.0
2584,1043.8279196,8.0,1010.5306705,7.0,550.0
2585,988.12447237,5.0,973.7859495,5.0,235.0
2586,984.78905841,4.0,959.47280038,5.0,2871.0
2587,951.86339417,3.0,929.46674342,3.0,2932.0
2588,1011.4531371,6.0,995.23904639,6.0,299.0
2590,944.55860155,2.0,917.96867541,2.0,7153.0
2594,946.83541876,3.0,919.55912069,2.0,12150.0
2600,1122.0229093,10.0,1169.5269533,10.0,8255.0
2601,1100.6398466,10.0,1165.2378532,10.0,7680.0
2602,1068.3813183,9.0,1107.6341708,10.0,34540.0
2603,1112.2674992,10.0,1160.1677376,10.0,10306.0
2604,1082.3002619,10.0,1129.0685644,10.0,13034.0
2605,1094.1271569,10.0,1134.9034592,10.0,12488.0
2606,1062.5918501,9.0,1088.3273082,9.0,12071.0
2607,1082.3041703,10.0,1108.6468751,10.0,14717.0
2609,874.29638803,1.0,871.20035248,1.0,1136.0
